Year and Quarter,GDP HUF_BILLION,"GDP, corresponding period of previous year = 100.0%",GDP %Chng,HUNREC,Unemployment rate,Industrial production index,Inflation rate YoY,BUX,Bux % change QoQ,Bux % change YoY,3 month yield,6  month yield,1 Yer yield ,3 year yield,5 year yield,10 year yield,15 year yield,10Y-3Y yield,15Y-3Y yield,10Y-1Y,15Y-1Y
1/1/1996,"1,608",99.7,-0.3,1,10.1,3.1,27.9,2635.03,0.08,0.93,,,,,,,,,,,
4/1/1996,"1,749",99.6,-0.4,1,10,2.8,23.8,2865.47,-0.13,0.92,,,,,,,,,,,
7/1/1996,"1,774",99.6,-0.4,1,9.8,2.2,22.6,3601.99,0.01,1.4,,,,,,,,,,,
10/1/1996,"1,991",101.3,1.3,0,9.4,5.3,20.4,5468.83,0.32,1.64,,,,,,,,,,,
1/1/1997,"1,976",100.9,0.9,0,9.1,4.4,19,5985.17,0.11,1.27,,,,,,,,,,,
4/1/1997,"2,173",103.4,3.4,0,9,12.8,18.3,7880.16,0.16,1.75,,,,,,,,,,,
7/1/1997,"2,221",104.3,4.3,0,9,13.9,17.9,7134.82,-0.07,0.98,,,,,,,,,,,
10/1/1997,"2,463",103.9,3.9,0,9.1,12.7,18,7421.65,-0.07,0.36,,,,,,,,,,,
1/1/1998,"2,353",103.4,3.4,0,9.1,15.4,17.2,8552.17,-0.01,0.43,,,,,,,,,,,
4/1/1998,"2,566",103.9,3.9,1,8.9,12.8,15.5,8215.26,0.05,0.04,,,,,,,,,,,
7/1/1998,"2,641",104.4,4.4,1,8.6,11.6,13.2,5312.05,0.16,-0.26,,,,,,,,,,,
10/1/1998,"2,883",103.7,3.7,1,8.1,11.9,11.1,6507.14,0.03,-0.12,,,,,,,,,,,
1/1/1999,"2,562",102.1,2.1,1,7.2,8.5,9.7,5985.27,0.09,-0.3,14.8,14.7,14.7,13.3,11.4,9.6,,-3.6,,-5.1,
4/1/1999,"2,855",102.2,2.2,0,6.9,6.9,9.3,7256.51,0.12,-0.12,14.5,14.5,14.5,13.5,12.3,10.2,,-3.4,,-4.3,
7/1/1999,"2,962",103.1,3.1,0,6.7,12.8,10.4,6959.16,0.03,0.31,14.1,14.2,14.2,13.5,12.6,10.5,,-3,,-3.7,
10/1/1999,"3,258",104.7,4.7,0,6.7,8.6,10.6,9548.9,0.08,0.47,14,14,14,13.2,12.1,10.3,,-2.9,,-3.7,
1/1/2000,"2,930",105.4,5.4,0,6.6,19.6,10,8872.49,-0.11,0.48,10.7,10.6,10.5,9.4,8.7,8.3,,-1.1,,-2.1,
4/1/2000,"3,263",104.8,4.8,0,6.4,21.1,9.3,8221.29,-0.01,0.13,10.5,10.4,10.1,8.7,8.3,8.1,,-0.6,,-2,
7/1/2000,"3,442",103.9,3.9,0,6.1,18.1,9.7,8161.53,-0.01,0.17,10.6,10.5,10.5,9.3,8.6,8,,-1.4,,-2.5,
10/1/2000,"3,689",103.9,3.9,1,5.9,20.5,10.2,8145.81,0.04,-0.15,11.7,11.7,11.6,10.9,10.3,9.2,,-1.7,,-2.5,
1/1/2001,"3,396",104.5,4.5,1,5.7,4.4,10.3,6865.72,0.03,-0.23,11,10.9,10.7,9.8,9.3,8.6,,-1.3,,-2.1,
4/1/2001,"3,893",104.5,4.5,1,5.6,0.9,10.6,6592.81,-0.02,-0.2,10.7,10.6,10.3,8.9,8.2,7.7,,-1.2,,-2.6,
7/1/2001,"3,974",104.1,4.1,1,5.5,-4.4,8.6,6773.14,0.1,-0.17,10.7,10.5,10.4,8.9,8.3,7.8,,-1.1,,-2.6,
10/1/2001,"4,137",103.3,3.3,1,5.5,-3.4,7.1,8108.22,0.14,0,10.5,10.4,10,9,8.4,7.9,,-1.1,,-2.1,
1/1/2002,"3,942",104.5,4.5,1,5.5,6.1,6.2,8673.56,0.07,0.26,8.4,8.4,8.4,7.9,7.4,6.8,6.7,-1.1,-1.2,-1.5,-1.7
4/1/2002,"4,303",104.6,4.6,1,5.5,4.9,5.5,7048.55,-0.03,0.07,9.4,9.5,9.5,9.2,8.3,7.6,7.1,-1.6,-2.1,-1.9,-2.4
7/1/2002,"4,444",104.8,4.8,1,5.6,8.7,4.6,7345.41,0.03,0.08,9.5,9.7,9.8,9.4,8.5,7.5,7.2,-2,-2.2,-2.4,-2.6
10/1/2002,"4,746",105,5,1,5.7,8.7,4.8,7485.8,-0.04,-0.08,9.4,9.5,9.5,9,8,7,6.8,-2,-2.1,-2.6,-2.7
1/1/2003,"4,175",103.4,3.4,1,5.7,3.8,4.7,8166.32,0.1,-0.06,6.3,6.3,6.3,6.3,6.2,6.2,6.2,-0.1,-0.1,-0.1,-0.1
4/1/2003,"4,706",104.1,4.1,0,5.8,6.3,4,8287.93,0.07,0.18,9.5,9.3,8.9,8.3,7.9,7.2,7.1,-1.1,-1.2,-1.7,-1.8
7/1/2003,"4,874",104.4,4.4,0,5.7,6.1,4.7,9571.32,0.07,0.3,9.3,9.3,9,8.3,7.9,7.1,7,-1.2,-1.3,-1.9,-1.9
10/1/2003,"5,379",104.3,4.3,0,5.7,11.4,5.3,10064.01,0.07,0.34,10.1,10.1,9.9,9.6,9,7.9,7.8,-1.7,-1.8,-2,-2.2
1/1/2004,"4,755",104.6,4.6,0,5.8,8.5,6.9,11072.44,0.01,0.36,11.5,11.4,10.7,9.8,8.9,8,7.6,-1.8,-2.3,-2.7,-3.2
4/1/2004,"5,357",105.4,5.4,0,5.9,7.9,7.4,11680.65,0.01,0.41,11.1,11,10.7,10,9.3,8.4,8.1,-1.7,-2,-2.4,-2.6
7/1/2004,"5,350",105.1,5.1,0,6.2,5.8,6.9,13201.03,0.04,0.38,10.9,10.9,10.8,10.4,9.7,8.7,8.2,-1.8,-2.2,-2.1,-2.6
10/1/2004,"5,652",104.9,4.9,0,6.4,-1,5.8,15552.51,0.05,0.55,10.3,10.1,9.9,9.5,8.9,8,7.7,-1.5,-1.8,-2,-2.2
1/1/2005,"4,886",103.3,3.3,0,6.8,4.7,3.7,16377.74,-0.04,0.48,7.5,7.5,7.5,7.5,7.4,7.1,6.9,-0.5,-0.7,-0.4,-0.6
4/1/2005,"5,658",104.8,4.8,0,7.2,6.3,3.8,20722.64,0.11,0.77,6.3,6.3,6.3,6.2,6.1,6,6,-0.2,-0.2,-0.3,-0.3
7/1/2005,"5,804",104.3,4.3,0,7.4,8.7,3.6,20525.53,-0.11,0.55,5.8,5.8,5.7,5.6,5.6,5.5,5.5,-0.1,-0.1,-0.2,-0.2
10/1/2005,"6,252",104.6,4.6,0,7.4,10.4,3.2,22202.7,0.07,0.43,6.2,6.3,6.4,6.7,6.8,6.7,6.6,0,-0.1,0.3,0.2
1/1/2006,"5,318",104.9,4.9,0,7.4,12.5,2.6,24356.29,0.06,0.49,6.2,6.3,6.6,6.9,6.8,6.8,6.7,0,-0.2,0.3,0.1
4/1/2006,"6,089",103.6,3.6,0,7.3,12.2,2.6,22594.29,0.06,0.09,6.9,7.1,7.6,7.9,7.7,7.2,7.1,-0.7,-0.8,-0.4,-0.5
7/1/2006,"6,296",103.8,3.8,1,7.6,9.9,4.1,22391.43,0.03,0.09,7.7,7.9,8,8.3,8,7.6,7.4,-0.7,-0.9,-0.4,-0.6
10/1/2006,"6,650",103.6,3.6,1,7.6,14.6,6.4,24059.38,-0.03,0.08,8.2,8.2,8.3,8,7.6,7.2,7.1,-0.8,-0.9,-1.1,-1.2
1/1/2007,"5,798",101.6,1.6,1,7.1,6.5,8.6,25424.8,0.09,0.04,7.7,7.5,7.4,7,6.8,6.6,6.4,-0.5,-0.6,-0.8,-0.9
4/1/2007,"6,358",100.1,0.1,1,7.1,6.5,8.6,29264.9,0.01,0.3,7.4,7.3,7.1,7,6.8,6.7,6.4,-0.3,-0.6,-0.4,-0.7
