DATE,HUNRECDM
1/1/1996,1
4/1/1996,1
7/1/1996,1
10/1/1996,0
1/1/1997,0
4/1/1997,0
7/1/1997,0
10/1/1997,0
1/1/1998,0
4/1/1998,1
7/1/1998,1
10/1/1998,1
1/1/1999,1
4/1/1999,0
7/1/1999,0
10/1/1999,0
1/1/2000,0
4/1/2000,0
7/1/2000,0
10/1/2000,1
1/1/2001,1
4/1/2001,1
7/1/2001,1
10/1/2001,1
1/1/2002,1
4/1/2002,1
7/1/2002,1
10/1/2002,1
1/1/2003,1
4/1/2003,0
7/1/2003,0
10/1/2003,0
1/1/2004,0
4/1/2004,0
7/1/2004,0
10/1/2004,0
1/1/2005,0
4/1/2005,0
7/1/2005,0
10/1/2005,0
1/1/2006,0
4/1/2006,0
7/1/2006,1
10/1/2006,1
1/1/2007,1
4/1/2007,1
7/1/2007,1
10/1/2007,1
1/1/2008,1
4/1/2008,1
7/1/2008,1
10/1/2008,1
1/1/2009,1
4/1/2009,1
7/1/2009,0
10/1/2009,0
1/1/2010,0
4/1/2010,0
7/1/2010,0
10/1/2010,0
1/1/2011,0
4/1/2011,0
7/1/2011,0
10/1/2011,1
1/1/2012,1
4/1/2012,1
7/1/2012,1
10/1/2012,1
1/1/2013,0
4/1/2013,0
7/1/2013,0
10/1/2013,0
1/1/2014,0
4/1/2014,0
7/1/2014,0
10/1/2014,0
1/1/2015,1
4/1/2015,1
7/1/2015,1
10/1/2015,1
1/1/2016,1
4/1/2016,1
7/1/2016,1
10/1/2016,0
1/1/2017,0
4/1/2017,0
7/1/2017,0
10/1/2017,0
1/1/2018,0
4/1/2018,0
7/1/2018,0
10/1/2018,0
1/1/2019,0
4/1/2019,0
7/1/2019,1
10/1/2019,1
1/1/2020,1
4/1/2020,0
7/1/2020,0
10/1/2020,0
1/1/2021,0
4/1/2021,0
7/1/2021,0
10/1/2021,0
1/1/2022,0
